JDHEL V-C s1 V-K1 s2 C-K1 s3 HELCOR AIRMASS
Aperture: 3, Filter: IRCUT, JD: heliocentric
2461157.3832237 0.96395 0.06966 0.68078 0.07349 -0.28317 0.04422 0.0007734 1.5158
2461157.3833562 1.11572 0.08246 0.78534 0.08627 -0.33038 0.04623 0.0007734 1.5150
2461157.3834883 1.01401 0.06930 0.76758 0.07213 -0.24643 0.04140 0.0007734 1.5143
2461157.3836210 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007734 1.5135
2461157.3837536 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007734 1.5127
2461157.3839897 99.99999 9.99999 99.99999 9.99999 -0.64177 0.04675 0.0007734 1.5114
2461157.3841219 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007734 1.5106
2461157.3842567 0.82151 0.07699 99.99999 9.99999 99.99999 9.99999 0.0007734 1.5098
2461157.3845228 1.04143 0.07856 99.99999 9.99999 99.99999 9.99999 0.0007734 1.5083
2461157.3847348 99.99999 9.99999 -1.07095 0.22511 99.99999 9.99999 0.0007734 1.5071
2461157.3850020 0.65862 0.06459 0.43717 0.06746 -0.22144 0.04792 0.0007734 1.5055
2461157.3851364 99.99999 9.99999 0.66676 0.06898 99.99999 9.99999 0.0007734 1.5047
2461157.3852704 1.14732 0.07051 0.91795 0.07266 -0.22937 0.03704 0.0007734 1.5040
2461157.3855014 99.99999 9.99999 99.99999 9.99999 -0.33785 0.05058 0.0007734 1.5027
2461157.3856337 1.00779 0.07047 0.64891 0.07483 -0.35888 0.04485 0.0007734 1.5019
2461157.3857676 1.15130 0.06639 0.48716 0.07397 -0.66414 0.04403 0.0007734 1.5011
2461157.3859016 0.82475 0.06405 0.55869 0.06709 -0.26606 0.04300 0.0007734 1.5004
2461157.3860349 0.93914 0.06485 0.79370 0.06677 -0.14544 0.03938 0.0007734 1.4996
2461157.3862644 1.18592 0.07836 0.91729 0.08161 -0.26863 0.04140 0.0007734 1.4983
2461157.3863970 1.05503 0.06392 0.52723 0.07095 -0.52780 0.04456 0.0007734 1.4975
2461157.3865310 0.79326 0.05285 0.37731 0.05857 -0.41594 0.04180 0.0007734 1.4968
2461157.3866647 0.77339 0.06410 0.57539 0.06658 -0.19799 0.04370 0.0007735 1.4960
2461157.3867977 0.91564 0.07304 0.86003 0.07337 -0.05561 0.04100 0.0007735 1.4953
2461157.3870315 0.91457 0.07127 0.73711 0.07347 -0.17746 0.04335 0.0007735 1.4940
2461157.3871641 1.35657 0.08035 0.88148 0.08445 -0.47509 0.04135 0.0007735 1.4932
2461157.3872987 1.14531 0.06446 0.69015 0.06861 -0.45516 0.03773 0.0007735 1.4924
2461157.3874322 0.99349 0.05959 0.59504 0.06443 -0.39845 0.03942 0.0007735 1.4917
2461157.3875657 99.99999 9.99999 0.54747 0.06207 99.99999 9.99999 0.0007735 1.4909
2461157.3878007 1.06786 0.08322 99.99999 9.99999 99.99999 9.99999 0.0007735 1.4896
2461157.3880668 99.99999 9.99999 0.74341 0.07712 99.99999 9.99999 0.0007735 1.4881
2461157.3881989 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007735 1.4874
2461157.3883332 99.99999 9.99999 99.99999 9.99999 -2.55118 0.28985 0.0007735 1.4866
2461157.3884664 0.92332 0.06596 0.60238 0.06954 -0.32094 0.04376 0.0007735 1.4859
2461157.3887042 0.75492 0.06973 99.99999 9.99999 99.99999 9.99999 0.0007735 1.4846
2461157.3888362 1.09189 0.07866 99.99999 9.99999 99.99999 9.99999 0.0007735 1.4838
2461157.3889707 99.99999 9.99999 1.02124 0.09680 99.99999 9.99999 0.0007735 1.4831
2461157.3891051 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007735 1.4824
2461157.3892392 0.86085 0.06904 0.65185 0.07221 -0.20901 0.04650 0.0007735 1.4816
2461157.3896034 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007735 1.4796
2461157.3897376 0.88350 0.06560 99.99999 9.99999 99.99999 9.99999 0.0007735 1.4789
2461157.3898717 99.99999 9.99999 0.51934 0.07320 99.99999 9.99999 0.0007735 1.4781
2461157.3900054 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007735 1.4774
2461157.3902393 1.11372 0.07402 0.63314 0.07994 -0.48057 0.04511 0.0007735 1.4761
2461157.3903716 99.99999 9.99999 0.69057 0.06968 99.99999 9.99999 0.0007735 1.4754
2461157.3905057 1.21198 0.08633 0.95862 0.08799 -0.25335 0.04161 0.0007736 1.4746
2461157.3906392 0.88074 0.06409 0.76081 0.06529 -0.11993 0.03991 0.0007736 1.4739
2461157.3907722 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007736 1.4732
2461157.3910077 1.19040 0.06914 0.76669 0.07275 -0.42371 0.03856 0.0007736 1.4719
2461157.3911402 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007736 1.4712
2461157.3912748 0.83352 0.05959 0.55108 0.06362 -0.28244 0.04134 0.0007736 1.4704
2461157.3914088 99.99999 9.99999 0.56578 0.07744 99.99999 9.99999 0.0007736 1.4697
2461157.3915420 1.01156 0.07717 99.99999 9.99999 99.99999 9.99999 0.0007736 1.4690
2461157.3917770 99.99999 9.99999 0.74173 0.08899 99.99999 9.99999 0.0007736 1.4677
2461157.3919095 99.99999 9.99999 0.96044 0.10144 99.99999 9.99999 0.0007736 1.4670
2461157.3920427 1.28243 0.09428 0.83465 0.09926 -0.44778 0.04934 0.0007736 1.4663
2461157.3921762 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007736 1.4656
2461157.3923100 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007736 1.4648
2461157.3925551 1.33974 0.08432 0.96907 0.08772 -0.37067 0.04246 0.0007736 1.4635
2461157.3926872 1.42452 0.07836 0.94887 0.08186 -0.47564 0.03767 0.0007736 1.4628
2461157.3928213 1.29800 0.08249 0.84411 0.08632 -0.45388 0.04251 0.0007736 1.4621
2461157.3929557 1.19283 0.07172 0.91258 0.07382 -0.28025 0.03726 0.0007736 1.4614
2461157.3930903 1.27294 0.07858 0.89676 0.08206 -0.37618 0.04120 0.0007736 1.4606
2461157.3933324 99.99999 9.99999 0.57098 0.07391 99.99999 9.99999 0.0007736 1.4593
2461157.3934650 1.30705 0.08115 0.84257 0.08591 -0.46448 0.04238 0.0007736 1.4586
2461157.3935992 1.23024 0.07168 0.84349 0.07535 -0.38675 0.03858 0.0007736 1.4579
2461157.3937333 1.21986 0.07446 99.99999 9.99999 99.99999 9.99999 0.0007736 1.4572
2461157.3938664 0.99914 0.06460 0.75926 0.06761 -0.23989 0.03869 0.0007736 1.4565
2461157.3942318 1.07913 0.06500 0.73349 0.06841 -0.34563 0.03802 0.0007736 1.4546
2461157.3945003 1.31308 0.08018 0.84768 0.08425 -0.46540 0.04168 0.0007737 1.4531
2461157.3946345 1.15208 0.07902 0.91958 0.08107 -0.23250 0.03987 0.0007737 1.4524
2461157.3948757 99.99999 9.99999 99.99999 9.99999 -0.44396 0.04709 0.0007737 1.4512
2461157.3950079 1.01517 0.07374 0.73252 0.07666 -0.28265 0.04348 0.0007737 1.4505
2461157.3952758 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007737 1.4491
2461157.3954093 1.13771 0.08032 99.99999 9.99999 99.99999 9.99999 0.0007737 1.4484
2461157.3956391 99.99999 9.99999 0.81023 0.09473 99.99999 9.99999 0.0007737 1.4472
2461157.3957713 1.16556 0.08003 0.75833 0.08479 -0.40723 0.04691 0.0007737 1.4465
2461157.3959046 1.41414 0.09471 99.99999 9.99999 99.99999 9.99999 0.0007737 1.4458
2461157.3960377 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007737 1.4451
2461157.3961704 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007737 1.4444
2461157.3964101 1.26204 0.08811 99.99999 9.99999 99.99999 9.99999 0.0007737 1.4431
2461157.3965423 1.36003 0.09157 0.90893 0.09613 -0.45110 0.04578 0.0007737 1.4424
2461157.3966765 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007737 1.4417
2461157.3968103 1.27789 0.09437 99.99999 9.99999 99.99999 9.99999 0.0007737 1.4411
2461157.3969436 99.99999 9.99999 99.99999 9.99999 -0.37607 0.04855 0.0007737 1.4404
2461157.3971777 99.99999 9.99999 0.62023 0.09231 99.99999 9.99999 0.0007737 1.4392
2461157.3973102 99.99999 9.99999 0.81256 0.07634 99.99999 9.99999 0.0007737 1.4385
2461157.3974434 99.99999 9.99999 99.99999 9.99999 -0.25672 0.04719 0.0007737 1.4378
2461157.3975771 99.99999 9.99999 99.99999 9.99999 -0.24669 0.04027 0.0007737 1.4371
2461157.3977100 99.99999 9.99999 0.73265 0.08126 99.99999 9.99999 0.0007737 1.4364
2461157.3979355 1.08233 0.06901 0.74389 0.07238 -0.33845 0.03901 0.0007737 1.4353
2461157.3980683 99.99999 9.99999 99.99999 9.99999 -0.34235 0.04125 0.0007737 1.4346
2461157.3982020 1.32313 0.07724 0.71157 0.08298 -0.61156 0.04255 0.0007737 1.4339
2461157.3983354 99.99999 9.99999 0.61850 0.07556 99.99999 9.99999 0.0007738 1.4332
2461157.3984683 1.11931 0.07776 0.77847 0.08235 -0.34084 0.04683 0.0007738 1.4325
2461157.3987067 99.99999 9.99999 99.99999 9.99999 -0.50186 0.04220 0.0007738 1.4313
2461157.3988389 1.17209 0.08113 0.87843 0.08421 -0.29366 0.04278 0.0007738 1.4306
2461157.3989732 99.99999 9.99999 0.96664 0.08833 99.99999 9.99999 0.0007738 1.4300
2461157.3991064 99.99999 9.99999 0.68251 0.08973 99.99999 9.99999 0.0007738 1.4293
2461157.3992403 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007738 1.4286
2461157.3994823 1.23905 0.09028 0.99270 0.09203 -0.24635 0.04265 0.0007738 1.4274
2461157.3996151 1.46803 0.08729 1.06867 0.08979 -0.39936 0.03905 0.0007738 1.4267
2461157.3997493 99.99999 9.99999 1.36156 0.10679 99.99999 9.99999 0.0007738 1.4260
2461157.3998838 1.30815 0.07413 0.95109 0.07651 -0.35705 0.03568 0.0007738 1.4253
2461157.4000178 1.17795 0.07083 0.89323 0.07364 -0.28472 0.03880 0.0007738 1.4247
2461157.4002644 1.26683 0.07950 0.88692 0.08260 -0.37991 0.04005 0.0007738 1.4234
2461157.4003968 1.17467 0.07323 0.82705 0.07626 -0.34761 0.03903 0.0007738 1.4228
2461157.4005306 1.38533 0.09101 1.02751 0.09337 -0.35782 0.04084 0.0007738 1.4221
2461157.4006636 1.21137 0.07871 0.87581 0.08203 -0.33556 0.04119 0.0007738 1.4214
2461157.4007982 1.05304 0.06942 0.72671 0.07245 -0.32633 0.04193 0.0007738 1.4208
2461157.4010412 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0007738 1.4195
2461157.4011735 1.11518 0.08624 99.99999 9.99999 99.99999 9.99999 0.0007738 1.4189
2461157.4013075 1.17782 0.07449 0.78287 0.07812 -0.39494 0.04042 0.0007738 1.4182
2461157.4014410 1.28507 0.08212 0.96711 0.08505 -0.31796 0.03898 0.0007738 1.4175
2461157.4015746 99.99999 9.99999 99.99999 9.99999 -0.26215 0.03907 0.0007738 1.4169
2461157.4018052 1.09427 0.06395 0.52808 0.07117 -0.56619 0.04476 0.0007738 1.4157
2461157.4019377 1.10247 0.07720 99.99999 9.99999 99.99999 9.99999 0.0007738 1.4151
2461157.4020715 1.21008 0.07287 0.77605 0.07682 -0.43403 0.04063 0.0007738 1.4144
2461157.4022059 1.32631 0.08090 0.93461 0.08415 -0.39170 0.03972 0.0007738 1.4138
2461157.4023391 1.01472 0.06333 0.69597 0.06681 -0.31875 0.03941 0.0007739 1.4131
2461157.4025746 1.29208 0.08867 99.99999 9.99999 99.99999 9.99999 0.0007739 1.4119
2461157.4028411 99.99999 9.99999 99.99999 9.99999 -0.43485 0.04301 0.0007739 1.4106
2461157.4029734 1.36945 0.10036 99.99999 9.99999 99.99999 9.99999 0.0007739 1.4100
2461157.4031064 1.34065 0.09187 0.97192 0.09464 -0.36873 0.04420 0.0007739 1.4093
2461157.4032401 99.99999 9.99999 99.99999 9.99999 -0.20922 0.04440 0.0007739 1.4087
2461157.4034738 1.21794 0.07072 0.94363 0.07277 -0.27430 0.03453 0.0007739 1.4075
2461157.4036064 1.31556 0.06993 99.99999 9.99999 99.99999 9.99999 0.0007739 1.4069
2461157.4037399 1.28958 0.06881 0.80492 0.07261 -0.48466 0.03793 0.0007739 1.4062
2461157.4038740 99.99999 9.99999 0.98354 0.09241 99.99999 9.99999 0.0007739 1.4056
2461157.4040077 1.28220 0.08668 0.89553 0.09019 -0.38667 0.04308 0.0007739 1.4049
