JDHEL V-C s1 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461218.3639136 -2.49127 0.02050 -0.0003259 1.0363
2461218.3639900 -2.69999 0.02230 -0.0003259 1.0363
2461218.3640669 -2.54703 0.01953 -0.0003259 1.0364
2461218.3642227 -2.41849 0.01862 -0.0003259 1.0365
2461218.3643788 -2.51615 0.01847 -0.0003259 1.0366
2461218.3644564 -2.72687 0.02074 -0.0003259 1.0366
2461218.3645384 -2.64547 0.02156 -0.0003259 1.0367
2461218.3646172 -2.66996 0.01921 -0.0003259 1.0367
2461218.3646955 -2.54091 0.01848 -0.0003259 1.0368
2461218.3648577 -2.49639 0.01894 -0.0003259 1.0369
2461218.3649369 -2.59321 0.02032 -0.0003259 1.0369
2461218.3650153 -2.54724 0.01979 -0.0003259 1.0370
2461218.3650926 99.99999 9.99999 -0.0003259 1.0370
2461218.3651705 99.99999 9.99999 -0.0003259 1.0371
2461218.3653407 -2.55259 0.01970 -0.0003259 1.0372
2461218.3654184 99.99999 9.99999 -0.0003259 1.0372
2461218.3654965 -2.55049 0.02104 -0.0003259 1.0373
2461218.3655739 -2.63340 0.02233 -0.0003259 1.0373
2461218.3656517 -2.13453 0.01942 -0.0003259 1.0374
2461218.3658137 99.99999 9.99999 -0.0003259 1.0375
2461218.3658915 -2.51229 0.02006 -0.0003259 1.0375
2461218.3659702 -2.45536 0.01958 -0.0003259 1.0376
2461218.3660470 -2.58530 0.02121 -0.0003259 1.0376
2461218.3663629 -2.40611 0.01856 -0.0003259 1.0378
2461218.3664392 -2.39220 0.01852 -0.0003259 1.0379
2461218.3665174 -2.47854 0.01971 -0.0003259 1.0379
2461218.3665942 -2.49348 0.01904 -0.0003259 1.0380
2461218.3667655 -2.47430 0.01816 -0.0003259 1.0381
2461218.3668441 -2.48540 0.01862 -0.0003259 1.0381
2461218.3669213 -2.62885 0.01946 -0.0003260 1.0382
2461218.3669992 -2.39218 0.01704 -0.0003260 1.0382
2461218.3670766 -2.51001 0.01883 -0.0003260 1.0383
2461218.3672398 -2.61134 0.01860 -0.0003260 1.0384
2461218.3673163 -2.68152 0.01976 -0.0003260 1.0385
2461218.3674715 -2.65949 0.01921 -0.0003260 1.0386
