JDHEL V-C s1 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461218.3639136 -2.16792 0.02060 -0.0003259 1.0363
2461218.3639900 -2.13505 0.02246 -0.0003259 1.0363
2461218.3640669 -1.88025 0.01974 -0.0003259 1.0364
2461218.3642227 -2.04275 0.01873 -0.0003259 1.0365
2461218.3643788 99.99999 9.99999 -0.0003259 1.0366
2461218.3644564 -2.22799 0.02087 -0.0003259 1.0366
2461218.3645384 -2.23060 0.02167 -0.0003259 1.0367
2461218.3646172 -1.95632 0.01944 -0.0003259 1.0367
2461218.3646955 -1.90214 0.01868 -0.0003259 1.0368
2461218.3648577 -2.08583 0.01906 -0.0003259 1.0369
2461218.3649369 99.99999 9.99999 -0.0003259 1.0369
2461218.3650153 -1.91447 0.02002 -0.0003259 1.0370
2461218.3650926 99.99999 9.99999 -0.0003259 1.0370
2461218.3651705 99.99999 9.99999 -0.0003259 1.0371
2461218.3653407 -2.07914 0.01982 -0.0003259 1.0372
2461218.3654184 99.99999 9.99999 -0.0003259 1.0372
2461218.3654965 -2.17940 0.02113 -0.0003259 1.0373
2461218.3655739 -2.27759 0.02241 -0.0003259 1.0373
2461218.3656517 99.99999 9.99999 -0.0003259 1.0374
2461218.3658137 99.99999 9.99999 -0.0003259 1.0375
2461218.3658915 -2.08594 0.02018 -0.0003259 1.0375
2461218.3659702 99.99999 9.99999 -0.0003259 1.0376
2461218.3660470 99.99999 9.99999 -0.0003259 1.0376
2461218.3663629 -1.78813 0.01880 -0.0003259 1.0378
2461218.3664392 -2.07563 0.01863 -0.0003259 1.0379
2461218.3665174 -1.99728 0.01987 -0.0003259 1.0379
2461218.3665942 -2.04957 0.01917 -0.0003259 1.0380
2461218.3667655 -1.95410 0.01832 -0.0003259 1.0381
2461218.3668441 -1.95882 0.01878 -0.0003259 1.0381
2461218.3669213 -2.07625 0.01961 -0.0003260 1.0382
2461218.3669992 -1.84782 0.01721 -0.0003260 1.0382
2461218.3670766 99.99999 9.99999 -0.0003260 1.0383
2461218.3672398 -2.20335 0.01870 -0.0003260 1.0384
2461218.3673163 -2.26320 0.01986 -0.0003260 1.0385
2461218.3674715 -2.26874 0.01930 -0.0003260 1.0386
2461218.3675501 99.99999 9.99999 -0.0003260 1.0386
2461218.3677083 -1.98118 0.01805 -0.0003260 1.0387
2461218.3677861 -2.09344 0.01840 -0.0003260 1.0388
2461218.3678631 -1.91445 0.01811 -0.0003260 1.0388
2461218.3679402 99.99999 9.99999 -0.0003260 1.0389
2461218.3680191 -2.12796 0.01920 -0.0003260 1.0389
2461218.3681791 -2.04597 0.01815 -0.0003260 1.0390
2461218.3682580 -2.15847 0.01987 -0.0003260 1.0391
2461218.3683357 -2.14380 0.01981 -0.0003260 1.0391
2461218.3684133 -2.16660 0.01925 -0.0003260 1.0392
2461218.3684908 99.99999 9.99999 -0.0003260 1.0393
2461218.3686501 -1.94000 0.01772 -0.0003260 1.0394
2461218.3687268 -2.15354 0.01957 -0.0003260 1.0394
2461218.3688045 -2.18594 0.02253 -0.0003260 1.0395
2461218.3688829 -2.25248 0.02253 -0.0003260 1.0395
2461218.3689605 -2.30682 0.02303 -0.0003260 1.0396
2461218.3691249 -2.04953 0.01976 -0.0003260 1.0397
2461218.3692024 -2.22457 0.01963 -0.0003260 1.0397
2461218.3692792 -2.32861 0.02245 -0.0003260 1.0398
2461218.3693567 -2.10150 0.01905 -0.0003260 1.0398
2461218.3694358 -2.24100 0.01924 -0.0003260 1.0399
