JDHEL V-C s1 V-K1 s2 C-K1 s3 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461182.3201512 -0.14122 0.08313 0.60903 0.06126 0.75025 0.07086 0.0039911 1.9307
2461182.3202834 -0.27965 0.08225 0.58593 0.05880 0.86558 0.07272 0.0039911 1.9308
2461182.3204155 -0.17121 0.07992 0.66583 0.05698 0.83704 0.06793 0.0039911 1.9308
2461182.3205486 99.99999 9.99999 99.99999 9.99999 0.87970 0.07526 0.0039911 1.9309
2461182.3206836 -0.15370 0.07108 0.55076 0.05900 0.70446 0.05765 0.0039911 1.9310
2461182.3208848 99.99999 9.99999 99.99999 9.99999 0.76076 0.06664 0.0039911 1.9311
2461182.3210173 -0.20902 0.08725 0.57089 0.06269 0.77991 0.07542 0.0039911 1.9311
2461182.3211501 -0.24314 0.07684 0.64501 0.05306 0.88815 0.06670 0.0039911 1.9312
2461182.3212835 -0.16155 0.07720 0.70815 0.05953 0.86969 0.06315 0.0039911 1.9313
2461182.3214172 -0.28064 0.08557 0.57456 0.05801 0.85520 0.07625 0.0039911 1.9314
2461182.3216171 -0.26273 0.07569 0.69843 0.05472 0.96116 0.06410 0.0039910 1.9315
2461182.3217496 -0.11580 0.07724 0.76328 0.06297 0.87909 0.05668 0.0039910 1.9316
2461182.3218839 -0.23436 0.07394 0.53835 0.05234 0.77272 0.06536 0.0039910 1.9316
2461182.3220174 -0.20316 0.07473 0.66344 0.05409 0.86659 0.06432 0.0039910 1.9317
2461182.3221518 -0.23812 0.08318 0.69377 0.05924 0.93189 0.07166 0.0039910 1.9318
2461182.3223490 -0.23578 0.08516 0.67417 0.05975 0.90995 0.07137 0.0039910 1.9319
2461182.3224812 -0.15059 0.08323 0.73189 0.06089 0.88248 0.06828 0.0039910 1.9320
2461182.3226139 -0.21459 0.08169 0.79272 0.05337 1.00731 0.07215 0.0039910 1.9321
2461182.3227471 -0.20578 0.08147 0.64431 0.06026 0.85009 0.06868 0.0039910 1.9322
2461182.3228806 99.99999 9.99999 99.99999 9.99999 0.83337 0.07100 0.0039910 1.9323
2461182.3230780 -0.25751 0.08421 99.99999 9.99999 99.99999 9.99999 0.0039909 1.9324
2461182.3232108 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.0039909 1.9325
2461182.3233446 -0.08378 0.08513 0.73024 0.06483 0.81402 0.06941 0.0039909 1.9326
2461182.3234790 99.99999 9.99999 0.58973 0.06162 99.99999 9.99999 0.0039909 1.9327
2461182.3237877 -0.23436 0.08885 0.75713 0.05704 0.99150 0.07791 0.0039909 1.9330
2461182.3239204 -0.28195 0.08866 0.62991 0.05706 0.91187 0.07723 0.0039909 1.9331
2461182.3240534 -0.29504 0.09321 0.69776 0.06345 0.99279 0.07762 0.0039909 1.9332
2461182.3241881 -0.32673 0.09758 0.76109 0.05992 1.08782 0.08655 0.0039909 1.9333
2461182.3243212 -0.23456 0.08306 0.75728 0.06095 0.99183 0.06575 0.0039908 1.9334
2461182.3245207 -0.27316 0.09807 0.88301 0.06453 1.15617 0.08184 0.0039908 1.9336
2461182.3246530 -0.30670 0.10548 0.82982 0.06655 1.13652 0.09019 0.0039908 1.9337
2461182.3247860 -0.30531 0.09577 0.80234 0.06320 1.10765 0.07922 0.0039908 1.9338
2461182.3249205 -0.26828 0.09301 0.81211 0.06533 1.08039 0.07719 0.0039908 1.9339
2461182.3250538 -0.33888 0.08990 0.71578 0.05896 1.05466 0.07689 0.0039908 1.9340
2461182.3252498 -0.25758 0.10427 0.68060 0.06927 0.93819 0.09075 0.0039908 1.9342
