JDHEL V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 V-K4 s5 C-K1 s6 C-K2 s7 C-K3 s8 C-K4 s9 K1-K2 s10 K1-K3 s11 K1-K4 s12 K2-K3 s13 K2-K4 s14 K3-K4 s15 HELCOR AIRMASS
Aperture: 2, Filter: IRCUT, JD: heliocentric
2461186.3192710 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 -0.30584 0.05814 99.99999 9.99999 0.02537 0.04902 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.33120 0.05754 99.99999 9.99999 0.0037058 1.9655
2461186.3194033 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 -0.23836 0.06138 99.99999 9.99999 -0.33973 0.06910 0.27863 0.04828 99.99999 9.99999 -0.10138 0.07529 0.51699 0.05678 99.99999 9.99999 99.99999 9.99999 0.61837 0.06506 0.0037058 1.9657
2461186.3195354 -0.00620 0.05185 99.99999 9.99999 99.99999 9.99999 -0.26420 0.06014 0.09087 0.05250 99.99999 9.99999 99.99999 9.99999 -0.25800 0.05893 0.09708 0.05110 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.35508 0.05950 0.0037058 1.9660
2461186.3196700 0.15562 0.05344 -0.35815 0.06825 -0.38329 0.06968 -0.33497 0.06874 0.11433 0.05408 -0.51378 0.06505 -0.53891 0.06654 -0.49059 0.06556 -0.04129 0.04998 -0.02513 0.07893 0.02318 0.07810 0.47249 0.06557 0.04832 0.07935 0.49762 0.06706 0.44931 0.06608 0.0037058 1.9662
2461186.3202689 0.10867 0.05952 -0.29630 0.07281 99.99999 9.99999 -0.25069 0.06907 0.14921 0.05891 -0.40497 0.07156 99.99999 9.99999 -0.35936 0.06775 0.04054 0.05736 99.99999 9.99999 0.04561 0.07968 0.44551 0.07106 99.99999 9.99999 99.99999 9.99999 0.39990 0.06721 0.0037057 1.9674
2461186.3204017 0.17985 0.06057 -0.36541 0.08285 99.99999 9.99999 -0.21860 0.07727 0.23529 0.05975 -0.54526 0.07725 99.99999 9.99999 -0.39845 0.07124 0.05544 0.05172 99.99999 9.99999 0.14681 0.09094 0.60070 0.07661 99.99999 9.99999 99.99999 9.99999 0.45389 0.07055 0.0037057 1.9676
2461186.3207314 0.24353 0.05691 -0.25239 0.07276 99.99999 9.99999 -0.15951 0.06952 0.16709 0.06033 -0.49592 0.06814 99.99999 9.99999 -0.40304 0.06467 -0.07644 0.05467 99.99999 9.99999 0.09288 0.07898 0.41948 0.07103 99.99999 9.99999 99.99999 9.99999 0.32660 0.06770 0.0037057 1.9682
2461186.3208638 0.24433 0.05770 -0.24117 0.07413 -0.18645 0.07118 -0.13691 0.07039 0.23110 0.05955 -0.48551 0.06723 -0.43078 0.06396 -0.38125 0.06308 -0.01323 0.05070 0.05473 0.07911 0.10426 0.07840 0.47228 0.06882 0.04953 0.07561 0.41755 0.06564 0.36801 0.06478 0.0037057 1.9685
2461186.3209962 0.23938 0.05751 -0.25904 0.06954 -0.14489 0.06703 -0.15960 0.06907 0.21383 0.05783 -0.49842 0.06546 -0.38427 0.06278 -0.39898 0.06496 -0.02555 0.05285 0.11415 0.07395 0.09944 0.07581 0.47287 0.06574 -0.01471 0.07352 0.35872 0.06307 0.37343 0.06525 0.0037057 1.9688
2461186.3211301 0.06010 0.05968 99.99999 9.99999 99.99999 9.99999 -0.20413 0.06574 0.21288 0.05540 99.99999 9.99999 99.99999 9.99999 -0.26423 0.06666 0.15278 0.05648 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.41701 0.06285 0.0037057 1.9690
2461186.3213298 0.12687 0.05450 -0.41729 0.07250 -0.38375 0.06602 -0.16907 0.06449 0.15059 0.05459 -0.54416 0.06950 -0.51062 0.06272 -0.29594 0.06110 0.02372 0.05054 0.03354 0.07887 0.24822 0.07759 0.56788 0.06958 0.21468 0.07157 0.53434 0.06280 0.31965 0.06119 0.0037057 1.9694
2461186.3214623 0.14469 0.05373 -0.31736 0.07029 -0.30790 0.06728 -0.21137 0.06524 0.22806 0.05472 -0.46205 0.06568 -0.45259 0.06244 -0.35606 0.06024 0.08337 0.04864 0.00946 0.07716 0.10599 0.07539 0.54541 0.06649 0.09653 0.07259 0.53595 0.06329 0.43942 0.06113 0.0037056 1.9697
2461186.3215953 0.26126 0.05687 -0.19273 0.06803 -0.22610 0.06841 -0.17292 0.06900 0.22304 0.05787 -0.45400 0.06197 -0.48736 0.06239 -0.43419 0.06304 -0.03822 0.05061 -0.03337 0.07270 0.01981 0.07326 0.41577 0.06289 0.05318 0.07362 0.44914 0.06330 0.39596 0.06394 0.0037056 1.9700
2461186.3217296 0.13984 0.05205 99.99999 9.99999 -0.47636 0.07129 -0.21236 0.06536 0.22210 0.05178 99.99999 9.99999 -0.61621 0.06810 -0.35221 0.06187 0.08225 0.04730 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999 0.26400 0.07875 0.69846 0.06790 0.43446 0.06165 0.0037056 1.9702
